cz,state,county,czname
30502,40,93,Enid
30502,40,151,Enid
30601,35,13,El Paso
30601,48,141,El Paso
30601,48,229,El Paso
30602,35,27,Alamogordo
30602,35,35,Alamogordo
30603,35,51,Truth or Consequences
30604,35,17,Deming
30604,35,23,Deming
30604,35,29,Deming
30605,48,109,Van Horn
30701,35,5,Roswell
30701,35,15,Roswell
30702,35,11,Santa Rosa
30702,35,19,Santa Rosa
30801,35,25,Hobbs
30801,48,165,Hobbs
30801,48,445,Hobbs
30801,48,501,Hobbs
30802,48,79,Lubbock
30802,48,107,Lubbock
30802,48,169,Lubbock
30802,48,219,Lubbock
30802,48,303,Lubbock
30802,48,305,Lubbock
30901,35,9,Clovis
30901,35,41,Clovis
30901,48,369,Clovis
30902,48,17,Littlefield
30902,48,69,Littlefield
30902,48,279,Littlefield
30903,48,11,Amarillo
30903,48,117,Amarillo
30903,48,359,Amarillo
30903,48,375,Amarillo
30903,48,381,Amarillo
30904,48,65,Pampa
30904,48,179,Pampa
30904,48,211,Pampa
30904,48,233,Pampa
30904,48,393,Pampa
30905,48,87,Wellington
30905,48,483,Wellington
30906,48,45,Memphis
30906,48,129,Memphis
30906,48,191,Memphis
30907,48,345,Matador
30908,48,153,Plainview
30908,48,189,Plainview
30908,48,437,Plainview
31001,20,55,Garden City
31001,20,75,Garden City
31001,20,81,Garden City
31001,20,93,Garden City
31002,20,67,Ulysses
31002,20,187,Ulysses
31002,20,189,Ulysses
31003,20,71,Scott City
31003,20,171,Scott City
31003,20,203,Scott City
31004,20,119,Liberal
31004,20,175,Liberal
31004,40,7,Liberal
31005,48,195,Perryton
31005,48,295,Perryton
31005,48,357,Perryton
31006,20,129,Guymon
31006,40,25,Guymon
31006,40,139,Guymon
31006,48,421,Guymon
31007,48,111,Dumas
31007,48,205,Dumas
31007,48,341,Dumas
31101,48,57,Victoria
31101,48,123,Victoria
31101,48,175,Victoria
31101,48,239,Victoria
31101,48,285,Victoria
31101,48,469,Victoria
31102,48,89,La Grange
31102,48,149,La Grange
31103,48,177,Gonzales
31201,48,21,Austin
31201,48,31,Austin
31201,48,55,Austin
31201,48,209,Austin
31201,48,287,Austin
31201,48,331,Austin
31201,48,453,Austin
31201,48,491,Austin
31202,48,53,Burnet
31202,48,299,Burnet
31301,48,13,San Antonio
31301,48,19,San Antonio
31301,48,29,San Antonio
31301,48,91,San Antonio
31301,48,187,San Antonio
31301,48,259,San Antonio
31301,48,297,San Antonio
31301,48,311,San Antonio
31301,48,325,San Antonio
31301,48,493,San Antonio
31302,48,25,Beeville
31302,48,255,Beeville
31303,48,171,Kerrville
31303,48,265,Kerrville
31304,48,319,Mason
31401,48,3,Midland
31401,48,103,Midland
31401,48,135,Midland
31401,48,317,Midland
31401,48,329,Midland
31401,48,461,Midland
31402,48,301,Pecos
31402,48,389,Pecos
31402,48,475,Pecos
31402,48,495,Pecos
31403,48,105,Fort Stockton
31403,48,371,Fort Stockton
31404,48,43,Alpine
31404,48,243,Alpine
31404,48,377,Alpine
31501,48,127,Crystal City
31501,48,507,Crystal City
31502,48,163,Pearsall
31502,48,283,Pearsall
31503,48,247,Laredo
31503,48,479,Laredo
31503,48,505,Laredo
31600,48,61,Brownsville
31600,48,215,Brownsville
31600,48,427,Brownsville
31600,48,489,Brownsville
31700,48,7,Corpus Christi
31700,48,47,Corpus Christi
31700,48,131,Corpus Christi
31700,48,249,Corpus Christi
31700,48,261,Corpus Christi
31700,48,273,Corpus Christi
31700,48,355,Corpus Christi
31700,48,391,Corpus Christi
31700,48,409,Corpus Christi
31800,48,41,College Station
31800,48,51,College Station
31800,48,185,College Station
31800,48,395,College Station
31900,48,39,Pearland
31900,48,321,Pearland
31900,48,481,Pearland
32000,48,15,Houston
32000,48,71,Houston
32000,48,157,Houston
32000,48,167,Houston
32000,48,201,Houston
32000,48,291,Houston
32000,48,339,Houston
32000,48,407,Houston
32000,48,473,Houston
32000,48,477,Houston
32100,48,199,Beaumont
32100,48,241,Beaumont
32100,48,245,Beaumont
32100,48,351,Beaumont
32100,48,361,Beaumont
32100,48,373,Beaumont
32100,48,457,Beaumont
32201,48,5,Huntsville
32201,48,225,Huntsville
32201,48,313,Huntsville
32201,48,455,Huntsville
32201,48,471,Huntsville
32202,48,347,Nacogdoches
32202,48,403,Nacogdoches
32202,48,405,Nacogdoches
32202,48,419,Nacogdoches
32301,48,81,San Angelo
32301,48,235,San Angelo
32301,48,413,San Angelo
32301,48,431,San Angelo
32301,48,451,San Angelo
32302,48,95,Brady
32302,48,307,Brady
32302,48,399,Brady
32303,48,267,Junction
32303,48,327,Junction
32304,48,137,Uvalde
32304,48,385,Uvalde
32304,48,435,Uvalde
32304,48,463,Uvalde
32305,48,271,Del Rio
32305,48,443,Del Rio
32305,48,465,Del Rio
32306,48,323,Eagle Pass
32401,48,33,Big Spring
32401,48,115,Big Spring
32401,48,173,Big Spring
32401,48,227,Big Spring
32401,48,383,Big Spring
32402,48,151,Sweetwater
32402,48,353,Sweetwater
32403,48,263,Snyder
32403,48,335,Snyder
32403,48,415,Snyder
32501,48,59,Abilene
32501,48,133,Abilene
32501,48,253,Abilene
32501,48,417,Abilene
32501,48,429,Abilene
32501,48,441,Abilene
32502,48,75,Childress
32502,48,101,Childress
32503,48,125,Haskell
32503,48,207,Haskell
32503,48,269,Haskell
32503,48,275,Haskell
32503,48,433,Haskell
32601,48,9,Wichita Falls
32601,48,77,Wichita Falls
32601,48,485,Wichita Falls
32602,48,237,Graham
32602,48,447,Graham
32602,48,503,Graham
32603,48,23,Seymour
32604,48,155,Vernon
32604,48,197,Vernon
32604,48,487,Vernon
32701,48,49,Brownwood
32701,48,83,Brownwood
32701,48,333,Brownwood
32701,48,411,Brownwood
32702,48,93,Stephenville
32702,48,143,Stephenville
32702,48,193,Stephenville
32801,48,35,Waco
32801,48,145,Waco
32801,48,217,Waco
32801,48,309,Waco
32802,48,161,Corsicana
32802,48,289,Corsicana
32802,48,293,Corsicana
32802,48,349,Corsicana
32900,48,27,Killeen
32900,48,99,Killeen
32900,48,281,Killeen
33000,48,221,Fort Worth
33000,48,251,Fort Worth
33000,48,337,Fort Worth
33000,48,363,Fort Worth
33000,48,367,Fort Worth
33000,48,425,Fort Worth
33000,48,439,Fort Worth
33000,48,497,Fort Worth
33100,48,85,Dallas
33100,48,97,Dallas
33100,48,113,Dallas
33100,48,121,Dallas
33100,48,139,Dallas
33100,48,257,Dallas
33100,48,397,Dallas
33200,48,119,Paris
33200,48,223,Paris
33200,48,231,Paris
33200,48,277,Paris
33200,48,379,Paris
33200,48,387,Paris
33300,48,1,Tyler
33300,48,73,Tyler
33300,48,213,Tyler
33300,48,423,Tyler
33300,48,467,Tyler
33300,48,499,Tyler
33400,48,183,Longview
33400,48,203,Longview
33400,48,315,Longview
33400,48,365,Longview
33400,48,401,Longview
33400,48,459,Longview
33500,5,81,Texarkana
33500,5,91,Texarkana
33500,48,37,Texarkana
33500,48,63,Texarkana
33500,48,67,Texarkana
33500,48,159,Texarkana
33500,48,343,Texarkana
33500,48,449,Texarkana
33601,40,31,Lawton
33601,40,33,Lawton
33601,40,67,Lawton
33601,40,137,Lawton
33602,40,55,Altus
33602,40,57,Altus
33602,40,65,Altus
33602,40,75,Altus
33603,40,141,Frederick
33700,40,19,Ardmore
33700,40,49,Ardmore
33700,40,69,Ardmore
33700,40,85,Ardmore
33700,40,95,Ardmore
33700,40,99,Ardmore
33801,40,9,Elk City
33801,40,39,Elk City
33801,40,129,Elk City
33801,40,149,Elk City
33802,40,15,Chickasha
33802,40,51,Chickasha
33803,40,17,Oklahoma City
33803,40,27,Oklahoma City
33803,40,73,Oklahoma City
33803,40,81,Oklahoma City
33803,40,83,Oklahoma City
33803,40,87,Oklahoma City
33803,40,109,Oklahoma City
33803,40,125,Oklahoma City
33803,40,133,Oklahoma City
33901,40,5,Ada
33901,40,29,Ada
33901,40,63,Ada
33901,40,123,Ada
33902,40,13,Sherman
33902,48,147,Sherman
33902,48,181,Sherman
34001,5,19,Hot Springs
34001,5,51,Hot Springs
34001,5,57,Hot Springs
34001,5,59,Hot Springs
34001,5,61,Hot Springs
34001,5,97,Hot Springs
34001,5,99,Hot Springs
34001,5,109,Hot Springs
34002,5,113,Idabel
34002,5,133,Idabel
34002,40,23,Idabel
34002,40,89,Idabel
34002,40,127,Idabel
34101,2,13,Sand Point
34102,2,20,Anchorage
34102,2,122,Anchorage
34102,2,170,Anchorage
34103,2,261,Valdez
34104,2,60,Bristol Bay
34105,2,188,Kotzebue
34106,2,180,Nome
34107,2,70,Dillingham
34107,2,164,Dillingham
34108,2,150,Kodiak
34109,2,100,Juneau
34109,2,105,Juneau
34109,2,110,Juneau
34109,2,230,Juneau
34110,2,195,Sitka
34110,2,220,Sitka
34110,2,275,Sitka
34111,2,130,Ketchikan
34111,2,198,Ketchikan
34112,2,50,Bethel
34113,2,185,Barrow
34114,2,16,Unalaska
34115,2,68,Fairbanks
34115,2,90,Fairbanks
34115,2,240,Fairbanks
34115,2,290,Fairbanks
34201,30,5,Havre
34201,30,41,Havre
34201,30,51,Havre
34202,30,35,Shelby
34202,30,73,Shelby
34202,30,101,Shelby
34203,30,13,Great Falls
34203,30,15,Great Falls
34203,30,45,Great Falls
34203,30,99,Great Falls
34204,30,27,Lewistown
34204,30,69,Lewistown
34301,56,3,Cody
34301,56,29,Cody
34302,56,17,Worland
34302,56,43,Worland
34303,56,13,Riverton
34304,30,3,Sheridan
34304,56,19,Sheridan
34304,56,33,Sheridan
34305,30,17,Miles City
34305,30,79,Miles City
34306,30,33,Jordan
34307,30,75,Colstrip
34307,30,87,Colstrip
34307,30,103,Colstrip
34308,30,9,Billings
34308,30,37,Billings
34308,30,65,Billings
34308,30,95,Billings
34308,30,111,Billings
34309,30,59,Harlowton
34309,30,107,Harlowton
34401,30,1,Dillon
34402,30,31,Bozeman
34402,30,57,Bozeman
34402,30,67,Bozeman
34402,30,97,Bozeman
34403,30,7,Helena
34403,30,43,Helena
34403,30,49,Helena
34404,30,23,Butte-Silver Bow
34404,30,39,Butte-Silver Bow
34404,30,77,Butte-Silver Bow
34404,30,93,Butte-Silver Bow
34501,16,21,Bonners Ferry
34502,30,53,Libby
34503,30,29,Kalispell
34503,30,47,Kalispell
34503,30,89,Kalispell
34504,30,61,Missoula
34504,30,63,Missoula
34504,30,81,Missoula
34601,56,5,Gillette
34601,56,11,Gillette
34601,56,45,Gillette
34602,56,7,Rawlins
34603,56,9,Casper
34603,56,25,Casper
34604,56,27,Lusk
34701,15,3,Honolulu
34702,15,7,Kapaa
34703,15,9,Kahului
34801,35,7,Las Vegas
34801,35,33,Las Vegas
34801,35,47,Las Vegas
34802,35,28,Santa Fe
34802,35,39,Santa Fe
34802,35,49,Santa Fe
34802,35,55,Santa Fe
34803,35,21,Tucumcari
34803,35,37,Tucumcari
34804,35,59,Clayton
34805,8,3,Alamosa
34805,8,21,Alamosa
34805,8,23,Alamosa
34805,8,79,Alamosa
34805,8,105,Alamosa
34805,8,109,Alamosa
34901,35,1,Albuquerque
34901,35,6,Albuquerque
34901,35,43,Albuquerque
34901,35,57,Albuquerque
34901,35,61,Albuquerque
34902,35,3,Socorro
34902,35,53,Socorro
35001,4,7,Phoenix
35001,4,13,Phoenix
35001,4,21,Phoenix
35002,4,9,Safford
35002,4,11,Safford
35100,4,3,Tucson
35100,4,19,Tucson
35100,4,23,Tucson
35201,8,29,Grand Junction
35201,8,77,Grand Junction
35201,8,85,Grand Junction
35201,8,91,Grand Junction
35201,8,113,Grand Junction
35202,8,51,Gunnison
35202,8,53,Gunnison
35300,8,7,Farmington
35300,8,67,Farmington
35300,8,111,Farmington
35300,35,45,Farmington
35401,4,5,Flagstaff
35401,4,25,Flagstaff
35401,49,25,Flagstaff
35402,8,33,Cortez
35402,8,83,Cortez
35402,49,37,Cortez
35500,4,1,Gallup
35500,4,17,Gallup
35500,35,31,Gallup
35600,15,1,Hilo
35701,16,13,Twin Falls
35701,16,25,Twin Falls
35701,16,47,Twin Falls
35701,16,53,Twin Falls
35701,16,63,Twin Falls
35701,16,83,Twin Falls
35702,16,31,Burley
35702,16,67,Burley
35801,16,1,Boise City
35801,16,15,Boise City
35801,16,27,Boise City
35801,16,39,Boise City
35801,16,45,Boise City
35801,16,73,Boise City
35802,16,75,Ontario
35802,16,87,Ontario
35802,41,45,Ontario
35803,16,3,McCall
35803,16,85,McCall
35901,49,1,St. George
35901,49,21,St. George
35901,49,53,St. George
35902,49,7,Price
35902,49,15,Price
35902,49,39,Price
35903,49,19,Moab
35904,49,17,Richfield
35904,49,31,Richfield
35904,49,41,Richfield
35905,49,55,Loa
36000,49,23,Provo
36000,49,27,Provo
36000,49,49,Provo
36100,49,11,Salt Lake City
36100,49,29,Salt Lake City
36100,49,35,Salt Lake City
36100,49,43,Salt Lake City
36100,49,45,Salt Lake City
36100,49,51,Salt Lake City
36100,49,57,Salt Lake City
36200,16,41,Logan
36200,16,71,Logan
36200,49,3,Logan
36200,49,5,Logan
36301,16,5,Pocatello
36301,16,11,Pocatello
36301,16,19,Pocatello
36301,16,23,Pocatello
36301,16,33,Pocatello
36301,16,43,Pocatello
36301,16,51,Pocatello
36301,16,65,Pocatello
36301,16,77,Pocatello
36302,16,37,Salmon
36302,16,59,Salmon
36303,16,81,Jackson
36303,56,39,Jackson
36401,8,81,Steamboat Springs
36401,8,103,Steamboat Springs
36401,8,107,Steamboat Springs
36402,49,13,Vernal
36402,49,47,Vernal
36403,16,7,Soda Springs
36403,16,29,Soda Springs
36404,49,9,Rock Springs
36404,49,33,Rock Springs
36404,56,23,Rock Springs
36404,56,35,Rock Springs
36404,56,37,Rock Springs
36404,56,41,Rock Springs
36501,6,35,Klamath Falls
36501,6,49,Klamath Falls
36501,6,93,Klamath Falls
36501,41,35,Klamath Falls
36502,41,25,Burns
36503,41,37,Lakeview
36600,6,89,Redding
36600,6,103,Redding
36700,6,23,Eureka
36700,6,105,Eureka
36800,41,29,Medford
36800,41,33,Medford
36901,6,15,Crescent City
36901,41,15,Crescent City
36902,41,11,Roseburg
36902,41,19,Roseburg
37000,6,43,Modesto
37000,6,47,Modesto
37000,6,99,Modesto
37000,6,109,Modesto
37100,6,29,Bakersfield
37200,6,19,Fresno
37200,6,31,Fresno
37200,6,39,Fresno
37200,6,107,Fresno
37300,6,7,Chico
37300,6,11,Chico
37300,6,21,Chico
37300,6,101,Chico
37300,6,115,Chico
37400,6,3,Sacramento
37400,6,5,Sacramento
37400,6,9,Sacramento
37400,6,17,Sacramento
37400,6,57,Sacramento
37400,6,61,Sacramento
37400,6,67,Sacramento
37400,6,77,Sacramento
37400,6,113,Sacramento
37400,32,5,Sacramento
37500,6,53,San Jose
37500,6,69,San Jose
37500,6,85,San Jose
37500,6,87,San Jose
37601,32,7,Elko
37601,32,11,Elko
37601,32,15,Elko
37601,32,33,Elko
37602,32,13,Winnemucca
37602,32,27,Winnemucca
37603,6,63,Portola
37603,6,91,Portola
37604,32,1,Reno
37604,32,19,Reno
37604,32,29,Reno
37604,32,31,Reno
37604,32,510,Reno
37700,6,33,Santa Rosa
37700,6,45,Santa Rosa
37700,6,97,Santa Rosa
37800,6,1,San Francisco
37800,6,13,San Francisco
37800,6,41,San Francisco
37800,6,55,San Francisco
37800,6,75,San Francisco
37800,6,81,San Francisco
37800,6,95,San Francisco
37901,4,15,Las Vegas
37901,32,3,Las Vegas
37901,32,9,Las Vegas
37901,32,17,Las Vegas
37901,32,23,Las Vegas
37902,32,21,Reno
37903,6,27,Mammoth Lakes
37903,6,51,Mammoth Lakes
38000,6,73,San Diego
38100,4,27,Yuma
38100,6,25,Yuma
38200,6,79,Santa Barbara
38200,6,83,Santa Barbara
38300,4,12,Los Angeles
38300,6,37,Los Angeles
38300,6,59,Los Angeles
38300,6,65,Los Angeles
38300,6,71,Los Angeles
38300,6,111,Los Angeles
38401,16,35,Lewiston
38401,16,49,Lewiston
38401,16,61,Lewiston
38401,16,69,Lewiston
38401,53,3,Lewiston
38401,53,23,Lewiston
38402,16,57,Pullman
38402,53,75,Pullman
38501,53,1,Moses Lake
38501,53,25,Moses Lake
38502,53,7,Wenatchee
38502,53,17,Wenatchee
38601,16,9,Spokane
38601,16,17,Spokane
38601,16,55,Spokane
38601,16,79,Spokane
38601,53,43,Spokane
38601,53,51,Spokane
38601,53,63,Spokane
38602,53,19,Colville
38602,53,47,Colville
38602,53,65,Colville
38700,41,7,Longview
38700,53,15,Longview
38700,53,27,Longview
38700,53,49,Longview
38700,53,69,Longview
38801,41,5,Portland
38801,41,9,Portland
38801,41,51,Portland
38801,41,67,Portland
38801,53,11,Portland
38801,53,59,Portland
38802,41,27,The Dalles
38802,41,55,The Dalles
38802,41,65,The Dalles
38802,53,39,The Dalles
38901,41,3,Eugene
38901,41,39,Eugene
38901,41,43,Eugene
38901,41,47,Eugene
38901,41,53,Eugene
38901,41,71,Eugene
38902,41,41,Newport
38902,41,57,Newport
39000,53,37,Yakima
39000,53,77,Yakima
39100,41,49,Kennewick
39100,41,59,Kennewick
39100,53,5,Kennewick
39100,53,13,Kennewick
39100,53,21,Kennewick
39100,53,71,Kennewick
39201,41,1,La Grande
39201,41,61,La Grande
39202,41,63,Enterprise
39203,41,13,Bend
39203,41,17,Bend
39203,41,31,Bend
39204,41,21,Condon
39204,41,69,Condon
39205,41,23,John Day
39301,53,55,Friday Harbor
39302,53,73,Bellingham
39303,53,9,Port Angeles
39303,53,31,Port Angeles
39400,53,29,Seattle
39400,53,33,Seattle
39400,53,35,Seattle
39400,53,41,Seattle
39400,53,45,Seattle
39400,53,53,Seattle
39400,53,57,Seattle
39400,53,61,Seattle
39400,53,67,Seattle
