par_pctile,kid_race,gender,n_kir,kir
89,AIAN,F,300,49.290001
89,AIAN,M,300,55.970001
90,White,F,86000,56.529999
90,White,M,89500,67.510002
90,Black,F,4600,57.880001
90,Black,M,4600,55.860001
90,Asian,F,3900,65.540001
90,Asian,M,4000,68.699997
90,Hispanic,F,5300,55.839996
90,Hispanic,M,5200,63.040001
90,AIAN,F,300,49.329998
90,AIAN,M,300,56.199997
91,White,F,87000,57.040001
91,White,M,89500,67.940002
91,Black,F,4400,58.549999
91,Black,M,4600,55.589996
91,Asian,F,4000,66.699997
91,Asian,M,4100,70.490005
91,Hispanic,F,5000,56.209999
91,Hispanic,M,4900,63.590004
91,AIAN,F,300,49.07
91,AIAN,M,300,56.230003
92,White,F,87000,57.630001
92,White,M,90500,68.330002
92,Black,F,4100,58.450001
92,Black,M,4200,57.059998
92,Asian,F,4100,67.389999
92,Asian,M,4100,69.029999
92,Hispanic,F,4800,56.919998
92,Hispanic,M,4800,63.389999
92,AIAN,F,250,50.160004
92,AIAN,M,300,58.32
93,White,F,87000,58.369999
93,White,M,91000,68.790001
93,Black,F,3900,59.939999
93,Black,M,4000,58.099998
93,Asian,F,4100,67.349998
93,Asian,M,4200,70.82
93,Hispanic,F,4800,57.029999
93,Hispanic,M,4600,63.77
93,AIAN,F,300,53.030003
93,AIAN,M,250,58.259998
94,White,F,87500,58.649998
94,White,M,91000,69.270004
94,Black,F,3600,60.970001
94,Black,M,3500,57.669998
94,Asian,F,4300,68.639999
94,Asian,M,4300,71.270004
94,Hispanic,F,4500,57
94,Hispanic,M,4300,64.600006
94,AIAN,F,250,49.779999
94,AIAN,M,300,58.649998
95,White,F,88000,59.350002
95,White,M,92000,69.739998
95,Black,F,3200,61.510002
95,Black,M,3100,59.439999
95,Asian,F,4400,67.879997
95,Asian,M,4500,71.290001
95,Hispanic,F,4200,57.799999
95,Hispanic,M,4200,65.330002
95,AIAN,F,200,54.77
95,AIAN,M,250,57.220001
96,White,F,89000,59.930004
96,White,M,92000,70.480003
96,Black,F,2600,61.720001
96,Black,M,2800,60.670002
96,Asian,F,4300,68.660004
96,Asian,M,4400,72.279999
96,Hispanic,F,4000,58.869999
96,Hispanic,M,3900,65.459999
96,AIAN,F,200,57.360001
96,AIAN,M,200,58.369999
97,White,F,90000,60.399998
97,White,M,93000,70.980003
97,Black,F,2200,63.270004
97,Black,M,2100,60.869999
97,Asian,F,4400,68.889999
97,Asian,M,4400,72.829994
97,Hispanic,F,3700,58.819996
97,Hispanic,M,3600,65.839996
97,AIAN,F,150,49.209999
97,AIAN,M,200,64.75
98,White,F,90500,60.829998
98,White,M,93500,71.610001
98,Black,F,1600,62.919998
98,Black,M,1800,61.979996
98,Asian,F,4500,69.520004
98,Asian,M,4400,73.139999
98,Hispanic,F,3600,59.509998
98,Hispanic,M,3400,65.779999
98,AIAN,F,150,56.730003
98,AIAN,M,150,62.870003
99,White,F,91000,61.589996
99,White,M,94500,72.769997
99,Black,F,1100,62.650002
99,Black,M,1300,61.790001
99,Asian,F,4400,70.650002
99,Asian,M,4400,74.860001
99,Hispanic,F,3200,61.029999
99,Hispanic,M,3200,67.409996
99,AIAN,F,150,60.93
99,AIAN,M,150,62.529999
100,White,F,92000,63.870003
100,White,M,94500,74.75
100,Black,F,850,62.279999
100,Black,M,950,64.620003
100,Asian,F,4300,74.07
100,Asian,M,4300,77.260002
100,Hispanic,F,2800,61.82
100,Hispanic,M,2800,69.400002
100,AIAN,F,100,61.559998
100,AIAN,M,150,66.769997
