par_pctile,kid_race,gender,n_kir,kir
18,Hispanic,M,22000,48.369999
18,AIAN,F,1200,34.32
18,AIAN,M,1200,36.449997
19,White,F,43000,38.77
19,White,M,44500,47.57
19,Black,F,25500,39.779999
19,Black,M,24000,37.790001
19,Asian,F,3400,54.529999
19,Asian,M,3700,56.760002
19,Hispanic,F,21500,41.490002
19,Hispanic,M,22000,48.170002
19,AIAN,F,1200,33.57
19,AIAN,M,1200,36.309998
20,White,F,43500,39.040001
20,White,M,45000,47.799999
20,Black,F,25500,40.119999
20,Black,M,24000,37.950001
20,Asian,F,3400,54.860001
20,Asian,M,3500,56.129997
20,Hispanic,F,21500,41.84
20,Hispanic,M,22000,48.579998
20,AIAN,F,1200,33.880001
20,AIAN,M,1300,38.23
21,White,F,44500,39.16
21,White,M,46000,47.960003
21,Black,F,25500,40.48
21,Black,M,23500,38.09
21,Asian,F,3400,55.459999
21,Asian,M,3600,57.130005
21,Hispanic,F,21500,41.639999
21,Hispanic,M,21000,48.669998
21,AIAN,F,1200,33.849998
21,AIAN,M,1200,37.760002
22,White,F,45500,39.43
22,White,M,46500,48.389999
22,Black,F,25000,41.049999
22,Black,M,23500,38.290001
22,Asian,F,3300,54.43
22,Asian,M,3600,57.52
22,Hispanic,F,21000,41.850002
22,Hispanic,M,21000,49.16
22,AIAN,F,1200,34.470001
22,AIAN,M,1200,37.630001
23,White,F,45500,39.700001
23,White,M,47500,48.52
23,Black,F,24500,41.290001
23,Black,M,23000,38.75
23,Asian,F,3400,55.019997
23,Asian,M,3600,57.599998
23,Hispanic,F,21000,41.990002
23,Hispanic,M,21000,49.559998
23,AIAN,F,1200,34.259998
23,AIAN,M,1200,38.139999
24,White,F,47000,40
24,White,M,48000,48.959999
24,Black,F,24000,41.119999
24,Black,M,23000,38.510002
24,Asian,F,3400,54.869999
24,Asian,M,3600,57.209999
24,Hispanic,F,20500,42.41
24,Hispanic,M,21000,49.599998
24,AIAN,F,1200,34.93
24,AIAN,M,1200,38.280003
25,White,F,48000,39.950001
25,White,M,49000,48.799999
25,Black,F,23500,41.310001
25,Black,M,22500,39.07
25,Asian,F,3300,55.800003
25,Asian,M,3600,57.260002
25,Hispanic,F,20500,42.539997
25,Hispanic,M,20000,50.330002
25,AIAN,F,1100,35.470001
25,AIAN,M,1200,38.98
26,White,F,48500,40.329998
26,White,M,50000,49.329998
26,Black,F,23000,41.639999
26,Black,M,22000,39.539997
26,Asian,F,3400,56.25
26,Asian,M,3600,58.299999
26,Hispanic,F,20000,42.599998
26,Hispanic,M,20000,50.010002
26,AIAN,F,1100,35.690002
26,AIAN,M,1200,38.900002
27,White,F,49000,40.59
27,White,M,51000,49.880001
27,Black,F,23000,41.959999
27,Black,M,22000,39.549999
27,Asian,F,3400,56
27,Asian,M,3500,57.939999
27,Hispanic,F,19500,42.77
27,Hispanic,M,20000,49.970001
27,AIAN,F,1200,34.77
27,AIAN,M,1200,40.149998
28,White,F,50000,40.650002
28,White,M,52000,49.98
28,Black,F,22500,42.309998
28,Black,M,21000,39.829998
28,Asian,F,3400,55.049999
28,Asian,M,3400,57.84
28,Hispanic,F,19500,43.489998
28,Hispanic,M,19500,50.449997
28,AIAN,F,1200,35.200001
28,AIAN,M,1100,40.189999
29,White,F,51500,41.02
29,White,M,53000,50.209999
29,Black,F,22000,42.299999
29,Black,M,21000,39.779999
29,Asian,F,3300,56.339996
29,Asian,M,3300,57.370003
29,Hispanic,F,19000,43.029999
29,Hispanic,M,19000,50.43
29,AIAN,F,1100,35.900002
29,AIAN,M,1200,39.25
30,White,F,52000,41.200001
30,White,M,54000,50.68
30,Black,F,21500,42.599998
30,Black,M,20500,40.459999
30,Asian,F,3200,55.980003
30,Asian,M,3400,59.119999
30,Hispanic,F,19000,43.740002
30,Hispanic,M,19000,50.959999
30,AIAN,F,1100,36.84
30,AIAN,M,1200,38.630001
31,White,F,53000,41.27
31,White,M,55000,51.050003
31,Black,F,21000,43.07
31,Black,M,19500,40.389999
31,Asian,F,3300,55.209999
31,Asian,M,3400,58.040001
31,Hispanic,F,18500,43.689999
31,Hispanic,M,18500,50.830002
31,AIAN,F,1000,36.52
31,AIAN,M,1100,38.560001
32,White,F,54500,41.540001
32,White,M,56000,51.209999
32,Black,F,20000,43.259998
32,Black,M,19500,41
32,Asian,F,3100,57.309998
32,Asian,M,3300,58.079998
32,Hispanic,F,18000,43.579998
32,Hispanic,M,18000,51.139999
32,AIAN,F,1100,35.989998
32,AIAN,M,1100,39.299999
33,White,F,55500,41.59
33,White,M,57000,51.48
33,Black,F,20000,43.41
33,Black,M,19000,41.560001
33,Asian,F,3200,56.309998
33,Asian,M,3500,58.579998
33,Hispanic,F,17500,43.970001
33,Hispanic,M,18000,51.220001
33,AIAN,F,1100,35.350002
33,AIAN,M,1100,41.09
34,White,F,56000,41.950001
34,White,M,58000,51.650002
34,Black,F,19500,43.91
34,Black,M,18500,41.290001
34,Asian,F,3100,56.840004
34,Asian,M,3300,57.82
34,Hispanic,F,17500,43.709999
34,Hispanic,M,17500,51.389999
34,AIAN,F,1100,36.669998
34,AIAN,M,1100,40.93
35,White,F,57000,42.309998
35,White,M,59500,51.799999
35,Black,F,19000,44
35,Black,M,18000,41.5
35,Asian,F,3100,56.809998
35,Asian,M,3300,58.749996
35,Hispanic,F,17000,44.380001
35,Hispanic,M,17500,51.779999
35,AIAN,F,1000,36.189999
35,AIAN,M,1100,41.380001
36,White,F,58500,42.220001
36,White,M,60500,52.100002
36,Black,F,18000,44.23
36,Black,M,17500,41.540001
36,Asian,F,3100,56.089996
36,Asian,M,3300,59.149998
36,Hispanic,F,16500,44.32
36,Hispanic,M,17000,52.27
36,AIAN,F,1100,37.049999
36,AIAN,M,1100,40.82
37,White,F,58500,42.619999
37,White,M,62000,52.539997
37,Black,F,17500,44.16
37,Black,M,17000,42.32
37,Asian,F,3100,57.090004
37,Asian,M,3200,58.780003
37,Hispanic,F,16500,44.710003
37,Hispanic,M,16500,52.02
37,AIAN,F,1000,37.040001
37,AIAN,M,1100,42.93
38,White,F,60500,42.869999
38,White,M,62500,52.59
38,Black,F,17000,44.690002
38,Black,M,16500,42.209999
38,Asian,F,3200,56
38,Asian,M,3100,58.02
38,Hispanic,F,16000,44.830002
38,Hispanic,M,16500,52.039997
38,AIAN,F,950,39.23
38,AIAN,M,1000,41.540001
39,White,F,61000,42.759998
39,White,M,63500,53.34
39,Black,F,16500,45.040001
39,Black,M,16000,42.209999
39,Asian,F,3100,57.139999
39,Asian,M,3200,60.280003
39,Hispanic,F,15500,44.48
39,Hispanic,M,16000,52.149998
39,AIAN,F,950,37.740002
39,AIAN,M,1000,43.259998
40,White,F,62000,43.16
40,White,M,64500,53.310001
40,Black,F,16000,45.110001
40,Black,M,15500,43.059998
40,Asian,F,3000,57.639999
40,Asian,M,3200,59.789997
40,Hispanic,F,15500,45.549999
40,Hispanic,M,15500,52.259998
40,AIAN,F,1000,36.799999
40,AIAN,M,1000,43.16
41,White,F,62500,43.220001
41,White,M,65500,53.600002
41,Black,F,15500,45.669998
41,Black,M,15000,42.899998
41,Asian,F,3100,57.540001
41,Asian,M,3200,59.899998
41,Hispanic,F,15000,45.799999
41,Hispanic,M,15500,52.969997
41,AIAN,F,950,38.740002
41,AIAN,M,1000,42.719997
42,White,F,64000,43.299999
42,White,M,66500,53.850002
42,Black,F,14500,45.489998
42,Black,M,14500,43.25
42,Asian,F,3000,56.610001
42,Asian,M,3200,59.119999
42,Hispanic,F,14500,45.699997
42,Hispanic,M,15000,52.719997
42,AIAN,F,900,38.68
42,AIAN,M,950,44.290001
43,White,F,65000,43.5
43,White,M,67500,54.079998
43,Black,F,14500,45.559998
43,Black,M,14000,43.560001
43,Asian,F,3000,58.02
43,Asian,M,3200,60.41
43,Hispanic,F,14500,45.849998
43,Hispanic,M,14500,53.119999
43,AIAN,F,950,37.68
43,AIAN,M,900,43.740002
44,White,F,66000,43.93
44,White,M,68500,54.41
44,Black,F,14000,46.119999
44,Black,M,13500,43.939999
44,Asian,F,3100,57.309998
44,Asian,M,3200,59.880001
44,Hispanic,F,14000,45.400002
44,Hispanic,M,14500,53.240002
